,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
680,FC,2024-05-11,84.7,-2.02,6.31,"Walker, Taijuan",605137,592836,,ball,,,,,12,Josh Bell pops out to third baseman Whit Merrifield in foul territory.,R,L,R,MIA,PHI,B,,,0,0,2024,0.45,0.87,1.13,3.44,,,,0,6,Bot,,,,,592663,,,6.401173079254412,-123.20138910371185,-2.090220633728957,3.31579937221114,23.9121408110069,-23.137844044476108,3.73,1.79,,,,83.9,2300,5.8,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.75,,,,,,,,48,1,Cutter,1,4,1,4,4,1,1,4,Strategic,Standard,187,0.0,0.037,,
722,FS,2024-05-11,85.3,-1.8,6.24,"Walker, Taijuan",669394,592836,field_out,hit_into_play,,,,,2,Jake Burger flies out to center fielder Johan Rojas.,R,R,R,MIA,PHI,X,8,fly_ball,3,2,2024,-0.63,0.33,-0.17,2.93,672640,665862,,2,5,Bot,110.66,80.24,,,592663,,,5.079200341959594,-124.15635928386249,-2.166548448166468,-7.548119071421087,23.788000571326982,-28.53990010521513,3.35,1.57,297,95.4,46,85.0,1070,6.0,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.51,0.006,0.006,0.0,1,0,0,3,39,6,Split-Finger,1,0,1,0,0,1,1,0,Standard,Standard,227,-0.054,-0.555,81.62803634316717,7.2609
756,SI,2024-05-11,90.8,-1.75,6.31,"Walker, Taijuan",669394,592836,,foul,,,,,2,Jake Burger flies out to center fielder Johan Rojas.,R,R,R,MIA,PHI,S,,,3,1,2024,-1.12,1.04,-0.28,3.18,672640,665862,,2,5,Bot,,,,,592663,,,6.074797381899489,-132.02311324905028,-4.080468536732854,-14.462232283580455,29.896867244777145,-19.36323833707741,3.35,1.57,64,80.6,82,90.2,1873,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.39,,,,,,,,39,5,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,222,0.0,-0.088,74.13805636808986,6.83058
784,SI,2024-05-11,90.6,-1.78,6.25,"Walker, Taijuan",669394,592836,,called_strike,,,,,5,Jake Burger flies out to center fielder Johan Rojas.,R,R,R,MIA,PHI,S,,,3,0,2024,-1.21,1.03,0.0,2.5,672640,665862,,2,5,Bot,,,,,592663,,,6.985921628120598,-131.65964383685557,-5.595027907751732,-15.574893617102369,28.853894004119727,-19.15709038260298,3.22,1.47,,,,90.0,1905,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.41,,,,,,,,39,4,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,221,0.0,-0.055,,
818,FC,2024-05-11,86.3,-1.92,6.23,"Walker, Taijuan",669394,592836,,ball,,,,,14,Jake Burger flies out to center fielder Johan Rojas.,R,R,R,MIA,PHI,B,,,2,0,2024,0.41,1.05,1.06,1.4,672640,665862,,2,5,Bot,,,,,592663,,,6.220099800350284,-125.48961654435884,-7.392925492692292,3.1735561709716333,24.318017248978453,-19.795750457395936,3.23,1.65,,,,86.0,2407,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.43,,,,,,,,39,3,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,187,0.0,0.119,,
845,FC,2024-05-11,85.6,-1.92,6.21,"Walker, Taijuan",669394,592836,,blocked_ball,,,,,14,Jake Burger flies out to center fielder Johan Rojas.,R,R,R,MIA,PHI,B,,,1,0,2024,0.26,0.98,0.7,0.73,672640,665862,,2,5,Bot,,,,,592663,,,5.617565069522335,-124.4410382448806,-8.600355090575992,1.67179259876125,23.168941907144596,-20.547946360775725,3.23,1.52,,,,85.3,2404,6.0,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.53,,,,,,,,39,2,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,188,0.0,-0.037,,
858,SI,2024-05-11,90.7,-1.78,6.3,"Walker, Taijuan",669394,592836,,ball,,,,,13,Jake Burger flies out to center fielder Johan Rojas.,R,R,R,MIA,PHI,B,,,0,0,2024,-1.38,0.82,-0.37,1.33,672640,665862,,2,5,Bot,,,,,592663,,,6.438769079294426,-131.76859348925572,-8.163253664890254,-17.503610596479025,29.358046677184483,-21.036171842060853,3.35,1.55,,,,90.0,1934,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.44,,,,,,,,39,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,219,0.0,0.043,,
888,FC,2024-05-11,86.4,-1.92,6.24,"Walker, Taijuan",650559,592836,field_out,hit_into_play,,,,,14,"Bryan De La Cruz grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.   Otto Lopez to 3rd.    Jazz Chisholm Jr.  to 2nd.",R,R,R,MIA,PHI,X,1,ground_ball,1,2,2024,0.39,0.68,1.04,1.15,,672640,665862,1,5,Bot,134.94,191.58,,,592663,,,6.226690077434524,-125.57389991683652,-7.240853867044042,2.854805341745044,25.842070348634326,-23.62816709326155,3.64,1.75,1,57.3,-58,85.9,2405,6.0,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.45,0.237,0.229,0.0,1,0,0,1,38,4,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,188,-0.026,-0.48,61.76318725383992,8.38259
927,FF,2024-05-11,91.7,-1.69,6.28,"Walker, Taijuan",650559,592836,,foul,,,,,13,"Bryan De La Cruz grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.   Otto Lopez to 3rd.    Jazz Chisholm Jr.  to 2nd.",R,R,R,MIA,PHI,S,,,1,1,2024,-0.88,1.32,-0.42,1.62,,672640,665862,1,5,Bot,,,,,592663,,,5.106930126723251,-133.18196142053705,-8.686272523706705,-11.596588669377972,29.98127431406104,-14.785236694878645,3.64,1.75,226,71.7,37,91.0,1866,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.4,,,,,,,,38,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,220,0.0,-0.109,73.23052606961552,8.04119
964,FC,2024-05-11,86.1,-1.94,6.29,"Walker, Taijuan",650559,592836,,swinging_strike,,,,,14,"Bryan De La Cruz grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.   Otto Lopez to 3rd.    Jazz Chisholm Jr.  to 2nd.",R,R,R,MIA,PHI,S,,,1,0,2024,0.24,0.76,0.77,0.96,,672640,665862,1,5,Bot,,,,,592663,,,5.931852343570762,-125.09156006580936,-7.935237022092465,1.3532072834432634,23.834873825802035,-22.85998625817554,3.64,1.75,,,,85.8,2434,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.44,,,,,,,,38,2,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,204,0.0,-0.095,69.02338680042477,8.90196
980,FC,2024-05-11,86.5,-1.72,6.28,"Walker, Taijuan",650559,592836,,blocked_ball,,,,,14,"Bryan De La Cruz grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.   Otto Lopez to 3rd.    Jazz Chisholm Jr.  to 2nd.",R,R,R,MIA,PHI,B,,,0,0,2024,0.4,0.79,2.11,0.83,,672640,665862,1,5,Bot,,,,,592663,,,8.261016909418283,-125.56517583114486,-8.329540764650542,2.513378251024214,25.984656473248968,-22.224797855627237,3.64,1.71,,,,85.9,2368,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.43,,,,,,,,38,1,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,191,0.0,0.067,,
1006,SI,2024-05-11,90.7,-1.66,6.39,"Walker, Taijuan",665862,592836,single,hit_into_play,,,,,1,Jazz Chisholm Jr.  singles on a ground ball to first baseman Bryce Harper.   Otto Lopez to 2nd.,R,L,R,MIA,PHI,X,3,ground_ball,1,2,2024,-1.23,1.1,-0.57,3.67,,,672640,1,5,Bot,134.94,189.16,,,592663,,,5.318241192833279,-131.93021458280623,-3.168680011409468,-15.467283365569298,29.695697247624803,-18.915027153057466,3.72,1.69,2,73.7,-60,90.1,1889,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.43,0.289,0.304,0.9,1,1,0,2,37,4,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,219,0.032,0.618,83.32307070226815,7.07722
1056,FC,2024-05-11,87.6,-2.28,6.15,"Walker, Taijuan",665862,592836,,ball,,,,,13,Jazz Chisholm Jr.  singles on a ground ball to first baseman Bryce Harper.   Otto Lopez to 2nd.,R,L,R,MIA,PHI,B,,,0,2,2024,-0.14,1.38,-1.58,1.79,,,672640,1,5,Bot,,,,,592663,,,1.962479046321677,-127.45313706147148,-7.1973893592510905,-1.8812654748455475,25.78547583082693,-15.828287961560294,3.72,1.74,,,,86.9,2281,5.8,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.66,,,,,,,,37,3,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,210,0.0,0.013,,
