Player,Team,Plays,EPA+CPOE composite,Adj. EPA/play,EPA/play,Success rate,Cmp%,Expected cmp%,CPOE,Air yards,Year,HC,OC,QBC
D.Jones,NYG,656,0.101,0.119,0.113,49.80%,71.6,69.2,2.3,6.4,2022,B. Daboll,M. Kafka,S. Tierney
D.Jones,NYG,465,0.048,0.022,0.012,44.90%,66.9,67.7,-0.8,7.1,2021,J. Judge,J. Garrett,S. Tierney
Z.Wilson,NYJ,464,0.008,-0.191,-0.22,38.60%,64.4,67.6,-3.1,7.4,2023,R. Saleh,N. Hackett,R. Calabrese
S.Darnold,NYJ,503,-0.002,-0.096,-0.122,43.10%,63,67.9,-4.9,7.4,2021,R. Saleh,Mi. LaFleur,R. Calabrese
Z.Wilson,NYJ,473,-0.029,-0.139,-0.148,38.70%,58.2,67.8,-9.6,7.7,2021,R. Saleh,Mi. LaFleur,R. Calabrese
J.Hurts,PHI,752,0.124,0.158,0.139,48.70%,70.4,66.6,3.8,8.5,2023,N. Sirianni,Br. Johnson,A. Tanney
J.Hurts,PHI,677,0.144,0.225,0.213,49.30%,70.3,67.6,2.7,8.3,2022,N. Sirianni,S. Steichen,Br. Johnson
J.Hurts,PHI,613,0.088,0.117,0.101,47.30%,64.8,64.7,0.1,8.8,2021,N. Sirianni,S. Steichen,Br. Johnson
K.Pickett,PIT,392,0.019,-0.053,-0.055,42.90%,64.8,67,-2.1,7.3,2023,M. Tomlin,M. Canada,M. Sullivan
K.Pickett,PIT,497,0.061,0.033,0.028,45.90%,66.4,65.7,0.7,7.5,2022,M. Tomlin,M. Canada,M. Sullivan
B.Roethlisberger,PIT,689,0.033,0.003,-0.017,41.70%,65.4,67.8,-2.4,6.8,2021,M. Tomlin,M. Canada,M. Sullivan
G.Smith,SEA,590,0.089,0.086,0.082,48.80%,68.4,66,2.4,7.2,2023,P. Carroll,S. Waldron,G. Olson
G.Smith,SEA,713,0.115,0.107,0.086,50.20%,72.3,66.6,5.7,7.8,2022,P. Carroll,S. Waldron,D. Canales
R.Wilson,SEA,494,0.093,0.084,0.075,45.70%,67.1,64,3.1,9.9,2021,P. Carroll,S. Waldron,A. Davis
B.Purdy,SF,523,0.204,0.36,0.338,56.40%,72.1,66.7,5.4,8.1,2023,K. Shanahan,K. Kubiak,B. Griese
J.Garoppolo,SF,362,0.13,0.24,0.236,51.40%,67.9,68.6,-0.7,6.9,2022,K. Shanahan,A. Lynn,B. Griese
J.Garoppolo,SF,515,0.14,0.216,0.203,49.90%,70.7,68,2.6,7.7,2021,K. Shanahan,M. McDaniel,R. Scangarello
B.Mayfield,TB,686,0.096,0.137,0.131,45.90%,66.4,66.2,0.2,8.5,2023,T Bowles,D. Canales,T. Lewis
T.Brady,TB,804,0.081,0.09,0.082,48.40%,69.4,68.7,0.7,6.9,2022,T. Bowles,B. Leftwich,C. Christensen
T.Brady,TB,786,0.139,0.229,0.217,52.40%,68.9,67.2,1.7,8.1,2021,B. Arians,B. Leftwich,C. Christensen
R.Tannehill,TEN,402,0.081,0.089,0.072,48.00%,66.9,66.1,0.7,7.7,2022,M. Vrabel,T. Downing,P. O'Hara
R.Tannehill,TEN,655,0.113,0.151,0.132,52.20%,68.8,66.4,2.3,7.4,2021,M. Vrabel,T. Downing,P. O'Hara
S.Howell,WAS,758,0.03,-0.047,-0.079,43.00%,67.1,67.6,-0.4,7.2,2023,R. Rivera,E. Bienemy,T. Pritchard
C.Wentz,WAS,336,0.01,-0.054,-0.062,41.70%,63.7,67.4,-3.7,7.9,2022,R. Rivera,S. Turner,K. Zampese
T.Heinicke,WAS,616,0.053,0.018,0.001,46.80%,66.9,66.6,0.3,7.7,2021,R. Rivera,S. Turner,K. Zampese
