PLAYER,POS,Year,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)","OFF DRIBBLE
COLLEGE
BREAK LEFT","OFF DRIBBLE
COLLEGE
BREAK RIGHT","OFF DRIBBLE
COLLEGE
TOP KEY","OFF DRIBBLE
FIFTEEN
BREAK LEFT","OFF DRIBBLE
FIFTEEN
BREAK RIGHT","OFF DRIBBLE
FIFTEEN
TOP KEY","ON THE
MOVE
COLLEGE","ON THE
MOVE
FIFTEEN"
Michael Ajayi,SF,2024,-%,9.5,9.75,6' 5.75'',,8' 10.50'',227.8,7' 0.75'',11.77,3.17,3.21,27,34.5,-,50.00%,-,-,-,-,-,52.00%,-
Melvin Ajinca,SF,2024,-%,8.5,9.75,6' 7.25'',,8' 10.5'',213.8,6' 7.5'',11.78,3,3.38,26.5,31,-,-,-,-,-,-,-,-,-
Trey Alexander,SG,2024,-%,8.75,10,6' 3.25'',,8' 5.50'',187,6' 10.50'',11.37,2.92,3.21,26.5,32,-,70.00%,-,-,-,-,-,52.00%,-
Izan Almansa,C,2024,-%,9.25,9.25,6' 9.25'',,9' 2.00'',219.6,7' 1.00'',10.94,2.96,3.11,28,35,-,63.30%,-,-,-,-,-,32.00%,-
Reece Beekman,PG,2024,-%,8.5,9,6' 1.25'',,8' 4.00'',196.4,6' 6.50'',10.86,3.08,2.94,30,36.5,-,73.30%,-,-,-,-,-,64.00%,-
Adem Bona,C,2024,-%,9.5,10,6' 8.25'',,9' 0.00'',243.2,7' 3.75'',11.01,3.01,3.15,35,40,-,63.30%,-,-,-,-,-,-,-
Trevon Brazile,PF,2024,-%,9,10.25,6' 9.25'',,9' 0.50'',215,7' 3.75'',11.15,3.01,3.09,33,41,-,53.30%,-,-,-,-,-,52.00%,-
Jalen Bridges,SF,2024,-%,9,10,6' 6.75'',,8' 9.00'',213.4,6' 10.00'',11.14,3,3.16,25,32,-,70.00%,-,-,-,-,-,60.00%,-
Matas Buzelis,SF,2024,-%,8.5,9.25,6' 8.75'',,8' 9.50'',197,6' 10.00'',10.73,2.9,3.09,31,38,-,56.70%,-,-,-,-,-,52.00%,-
Carlton Carrington,PG,2024,-%,8.5,9.25,6' 3.75'',,8' 3.00'',194.8,6' 8.00'',11.28,2.99,3.16,28.5,36.5,-,70.00%,-,-,-,-,-,52.00%,-
Devin Carter,SG,2024,-%,8.75,9,6' 2.25'',,8' 2.00'',193,6' 8.75'',10.63,2.9,2.87,35,42,-,66.70%,-,-,-,-,-,68.00%,-
Stephon Castle,SG,2024,-%,8.75,8.75,6' 5.50'',,8' 6.00'',210,6' 9.00'',10.93,2.91,3.19,28.5,37,-,56.70%,-,-,-,-,-,72.00%,-
Ulrich Chomche,C,2024,-%,9.25,10.25,6' 10.25'',,9' 1.00'',232.4,7' 4.00'',11.74,2.84,3.1,29,35.5,-,43.30%,-,-,-,-,-,48.00%,-
Cam Christie,SG,2024,-%,8,8,6' 4.50'',,8' 5.50'',190.4,6' 8.00'',11.07,2.95,3.07,32.5,35.5,-,56.70%,-,-,-,-,-,44.00%,-
Nique Clifford,SF,2024,-%,8,9,6' 5.00'',,8' 6.00'',198.6,6' 8.00'',10.95,3.1,3.08,30,37,-,63.30%,-,-,-,-,-,36.00%,-
Donovan Clingan,C,2024,-%,10,10.25,7' 1.75'',,9' 7.00'',282,7' 6.75'',12.06,3.38,3.46,25.5,29,-,63.30%,-,-,-,-,-,40.00%,-
Isaiah Collier,PG,2024,-%,8.5,9,6' 2.50'',,8' 1.50'',204.6,6' 4.75'',10.77,2.9,3.04,30,34,-,43.30%,-,-,-,-,-,36.00%,-
Tristan Da Silva,PF,2024,-%,9,9.5,6' 8.25'',,8' 8.50'',216.8,6' 10.25'',10.81,2.82,3.09,28.5,35.5,-,56.70%,-,-,-,-,-,60.00%,-
Pacome Dadiet,SF,2024,-%,8.5,9,6' 7.75'',,8' 11.5'',216.8,6' 9'',11.84,2.94,3.21,29,36,-,-,-,-,-,-,-,-,-
N'Faly Dante,C,2024,-%,9.25,10,6' 10.00'',,9' 3.00'',260.2,7' 6.00'',11.55,3.04,3.23,27,33,-,53.30%,-,-,-,-,-,-,-
Robert Dillingham,PG,2024,-%,8,8.25,6' 1.00'',,7' 11.00'',164.2,6' 3.00'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nikola Djurisic,SF,2024,-%,8.5,10,6' 7.00'',,8' 6.50'',208.8,6' 8.00'',10.63,2.92,3.12,27.5,34.5,-,63.30%,-,-,-,-,-,28.00%,-
Ryan Dunn,PF,2024,-%,9,9.75,6' 6.25'',,8' 7.00'',213.6,7' 1.50'',10.99,2.88,3.12,32,38.5,-,36.70%,-,-,-,-,-,40.00%,-
Zach Edey,C,2024,-%,10,10.75,7' 3.75'',,9' 7.00'',299,7' 10.75'',11.19,3.01,3.42,26,31.5,-,60.00%,-,-,-,-,-,56.00%,-
Justin Edwards,SF,2024,-%,8.75,8.75,6' 6.00'',,8' 6.50'',209.4,6' 10.00'',12.07,3.22,3.18,28,32.5,-,36.70%,-,-,-,-,-,48.00%,-
Jesse Edwards,C,2024,-%,9.25,10,6' 11.50'',,9' 3.00'',236,7' 5.00'',11.24,3.23,3.33,30.5,35.5,-,66.70%,-,-,-,-,-,36.00%,-
Boogie Ellis,PG-SG,2024,-%,9,9.5,6' 0.75'',,8' 2.00'',185,6' 7.00'',11.98,3.33,3.19,31.5,39.5,-,73.30%,-,-,-,-,-,52.00%,-
Kyle Filipowski,PF,2024,-%,8.75,9.5,6' 10.75'',,8' 11.00'',229.8,6' 10.50'',11.43,2.93,3.19,27,32.5,-,56.70%,-,-,-,-,-,56.00%,-
Trentyn Flowers,SF,2024,-%,8.75,9.5,6' 6.50'',,8' 4.50'',201.4,6' 8.25'',11.01,3,3.13,34.5,42,-,66.70%,-,-,-,-,-,56.00%,-
Enrique Freeman,PF,2024,-%,8.75,10,6' 7.25'',,9' 0.00'',212,7' 2.00'',10.99,3.04,3.26,30.5,35,-,43.30%,-,-,-,-,-,48.00%,-
Johnny Furphy,SF,2024,-%,8,9.5,6' 7.50'',,8' 8.50'',188.8,6' 8.00'',11.15,3.17,3.2,25.5,32,-,63.30%,-,-,-,-,-,36.00%,-
Kyshawn George,SF,2024,-%,9,10.25,6' 7.00'',,8' 9.00'',208.8,6' 10.25'',11.9,2.91,3.32,27,32,-,56.70%,-,-,-,-,-,64.00%,-
Tyon Grant-Foster,SF,2024,-%,8.75,9.25,6' 5.75'',,8' 8.00'',215.2,6' 11.75'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
PJ Hall,C,2024,-%,9,9.75,6' 8.25'',,8' 7.50'',239.6,7' 1.50'',11.76,3.01,3.35,32.5,39.5,-,56.70%,-,-,-,-,-,48.00%,-
Coleman Hawkins,PF,2024,-%,8.75,8.75,6' 8.25'',,8' 11.00'',215.2,7' 0.00'',12.05,3.21,3.3,24,29.5,-,53.30%,-,-,-,-,-,64.00%,-
Ron Holland II,SF,2024,-%,8.75,9,6' 6.50'',,8' 8.00'',196.8,6' 10.75'',11.1,2.91,3.1,30,38,-,53.30%,-,-,-,-,-,36.00%,-
DaRon Holmes II,C,2024,-%,8.75,9,6' 8.75'',,9' 0.00'',236.2,7' 1.00'',11.2,3.03,3.25,27.5,34,-,43.30%,-,-,-,-,-,60.00%,-
Ariel Hukporti,C,2024,-%,9.25,10.25,6' 10.75'',,9' 3.00'',246.2,7' 2.50'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oso Ighodaro,C,2024,-%,9,10,6' 9.50'',,8' 8.50'',222,6' 11.00'',11.25,3.12,3.09,35,39.5,-,36.70%,-,-,-,-,-,44.00%,-
Harrison Ingram,SF,2024,-%,9,10.25,6' 5.25'',,8' 6.50'',233.6,7' 0.25'',11.36,2.94,3.17,29,35,-,56.70%,-,-,-,-,-,52.00%,-
Bronny James,SG,2024,-%,8.5,9.5,6' 1.50'',,8' 2.50'',210.4,6' 7.25'',10.96,3.02,3.09,32,40.5,-,50.00%,-,-,-,-,-,76.00%,-
AJ Johnson,SG,2024,-%,8.5,8.5,6' 4.25'',,8' 6.00'',167,6' 8.50'',10.76,2.87,3.15,29,38,-,60.00%,-,-,-,-,-,48.00%,-
Keshad Johnson,PF,2024,-%,9.25,10.75,6' 6.25'',,8' 7.00'',224,6' 10.25'',11.38,3.02,3.03,31.5,42,-,53.30%,-,-,-,-,-,44.00%,-
Dillon Jones,SF,2024,-%,9,9.25,6' 4.50'',,8' 4.50'',236.8,6' 11.00'',11.08,2.82,3.25,26.5,33.5,-,83.30%,-,-,-,-,-,56.00%,-
David Jones,SF,2024,-%,8.5,9.5,6' 3.50'',,8' 4.00'',211.2,6' 6.75'',11.08,3.3,3.2,28,34.5,-,83.30%,-,-,-,-,-,44.00%,-
Isaac Jones,C,2024,-%,9.25,10.25,6' 7.75'',,9' 0.00'',235,7' 3.00'',11.49,3,3.38,29,35,-,53.30%,-,-,-,-,-,64.00%,-
Alex Karaban,PF,2024,-%,8.75,9.25,6' 6.50'',,8' 10.50'',219.2,6' 11.00'',11.23,-,3.2,22.5,32,-,90.00%,-,-,-,-,-,84.00%,-
Bobi Klintman,PF,2024,-%,8.75,10,6' 8.75'',,8' 10.50'',212.2,6' 11.00'',11.49,3.21,3.23,26.5,32.5,-,60.00%,-,-,-,-,-,48.00%,-
Dalton Knecht,SF,2024,-%,8.5,9.5,6' 5.25'',,8' 7.50'',212.2,6' 9.00'',10.56,2.79,3.07,31,39,-,66.70%,-,-,-,-,-,72.00%,-
Tyler Kolek,PG,2024,-%,8.25,9.5,6' 1.25'',,7' 11.00'',196.6,6' 2.75'',10.97,3.08,3.27,27,34,-,66.70%,-,-,-,-,-,64.00%,-
Pelle Larsson,SG,2024,-%,8.75,10.25,6' 5.25'',,8' 6.00'',212.4,6' 7.50'',11.15,2.91,3.06,30.5,38,-,70.00%,-,-,-,-,-,48.00%,-
Jared McCain,SG,2024,-%,8.25,9.5,6' 2.00'',,8' 2.00'',203.2,6' 3.50'',10.87,3.07,3.23,25.5,33,-,63.30%,-,-,-,-,-,48.00%,-
Kevin McCullar Jr.,SF,2024,-%,8.75,9.5,6' 5.25'',,8' 7.00'',205.8,6' 9.00'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yves Missi,C,2024,-%,9.5,10,6' 10.75'',,9' 1.50'',229.4,7' 2.00'',11.45,3.12,3.12,31,38.5,-,43.30%,-,-,-,-,-,48.00%,-
Ajay Mitchell,PG,2024,-%,8.5,8.5,6' 3.25'',,8' 5.00'',197,6' 6.25'',11.12,2.95,3.11,28,33.5,-,80.00%,-,-,-,-,-,64.00%,-
Jonathan Mogbo,PF,2024,-%,8.75,8.75,6' 6.25'',,9' 0.50'',217.2,7' 2.00'',11.14,3.07,3.02,31.5,37.5,-,46.70%,-,-,-,-,-,56.00%,-
Tristen Newton,PG,2024,-%,8.5,9,6' 3.25'',,8' 4.00'',191.8,6' 6.75'',10.96,2.84,3.24,25,32.5,-,63.30%,-,-,-,-,-,68.00%,-
Juan Nunez,PG,2024,-%,8.5,9.5,6' 4'',,8' 6'',205.6,6' 6.5'',11.47,3.1,3.41,22,29,-,-,-,-,-,-,-,-,-
Quinten Post,C,2024,-%,9.25,10,7' 0.00'',,9' 4.00'',244.4,7' 2.50'',11.48,3.03,3.4,24,27,-,70.00%,-,-,-,-,-,56.00%,-
Antonio Reeves,SG,2024,-%,9,10,6' 4.50'',,8' 4.50'',186.6,6' 8.25'',11.44,3.16,3.14,29,36,-,70.00%,-,-,-,-,-,64.00%,-
Zaccharie Risacher,SF,2024,-%,8.5,8.75,6' 8.5'',,8' 11'',194.6,6' 9.5'',11.51,2.97,3.38,25,31,-,-,-,-,-,-,-,-,-
Jaxson Robinson,SG,2024,-%,9,9.5,6' 4.75'',,8' 7.00'',188.6,6' 11.25'',11.39,3.06,3.17,29.5,34,-,63.30%,-,-,-,-,-,68.00%,-
Tidjane Salaun,PF,2024,-%,8.5,9.75,6' 8.75'',,9' 2'',217.4,7' 1.5'',11.45,3.05,3.37,27.5,32,-,-,-,-,-,-,-,-,-
Hunter Sallis,SG,2024,-%,8,9.5,6' 3.50'',,8' 4.50'',179.4,6' 9.75'',10.82,3.16,3.11,29.5,36,-,73.30%,-,-,-,-,-,40.00%,-
Payton Sandfort,SF,2024,-%,8.5,9,6' 6.25'',,8' 8.00'',212,6' 8.00'',11.57,2.84,3.43,22,28,-,56.70%,-,-,-,-,-,48.00%,-
Alexandre Sarr,C,2024,-%,9,10,6' 11.75'',,9' 2.00'',224.2,7' 4.25'',11.43,3.23,3.27,30.5,37,-,53.30%,-,-,-,-,-,52.00%,-
Baylor Scheierman,SF,2024,-%,9.25,9.75,6' 6.25'',,8' 6.50'',201.6,6' 8.25'',10.89,2.94,3.09,27.5,32,-,80.00%,-,-,-,-,-,40.00%,-
Mark Sears,PG,2024,-%,8,8.5,5' 10.25'',,7' 8.00'',192.4,6' 2.00'',11.96,3.26,3.33,32,39,-,83.30%,-,-,-,-,-,76.00%,-
Terrence Shannon Jr.,SF,2024,-%,8.75,8.5,6' 5.75'',,8' 4.00'',219.4,6' 8.75'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamal Shead,PG,2024,-%,8.25,8.75,6' 0.25'',,8' 0.00'',200.8,6' 3.00'',10.87,2.87,2.94,30,37.5,-,60.00%,-,-,-,-,-,44.00%,-
Reed Sheppard,PG,2024,-%,7.75,9,6' 1.75'',,7' 9.50'',181.6,6' 3.25'',10.96,3.03,3.08,32.5,42,-,56.70%,-,-,-,-,-,60.00%,-
KJ Simpson,PG,2024,-%,8.25,9.25,6' 0.25'',,7' 9.50'',187,6' 4.50'',10.49,2.98,3.24,32.5,40.5,-,53.30%,-,-,-,-,-,48.00%,-
Tyler Smith,PF,2024,-%,8.5,9,6' 9.00'',,8' 9.00'',223.8,7' 1.00'',10.74,2.99,3.28,32,38,-,30.00%,-,-,-,-,-,56.00%,-
Cam Spencer,SG,2024,-%,8.5,9.75,6' 3.00'',,8' 2.50'',201.8,6' 5.00'',11.07,3,3.35,23,30.5,-,86.70%,-,-,-,-,-,72.00%,-
Nae'Qwan Tomlin,PF,2024,-%,9,10,6' 8.25'',,9' 1.00'',205,7' 2.50'',11.63,3.54,3.43,27.5,32.5,-,56.70%,-,-,-,-,-,52.00%,-
Nikola Topic,PG,2024,-%,8,9,6' 5.75'',,8' 6'',203,6' 5.5'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
JT Toppin,PF,2024,-%,9.25,9.25,6' 7.00'',,8' 10.00'',221,7' 0.50'',11.12,3.01,3.27,28.5,34,-,36.70%,-,-,-,-,-,40.00%,-
Jaylon Tyson,SF,2024,-%,8.25,9.5,6' 5.50'',,8' 6.50'',218.2,6' 8.00'',11.13,3.06,3.12,29.5,36.5,-,66.70%,-,-,-,-,-,72.00%,-
Ja'Kobe Walter,SG,2024,-%,8.75,9.75,6' 4.25'',,8' 6.50'',197.6,6' 10.00'',11,2.92,3.04,30.5,38.5,-,76.70%,-,-,-,-,-,40.00%,-
Kel'el Ware,C,2024,-%,9.5,10.25,6' 11.75'',,9' 4.50'',230,7' 4.50'',10.97,2.91,3.29,32.5,36,-,53.30%,-,-,-,-,-,36.00%,-
Jamir Watkins,SF,2024,-%,9,9.5,6' 5.00'',,8' 8.00'',211.6,6' 10.75'',10.64,3.16,3.01,30.5,35.5,-,40.00%,-,-,-,-,-,52.00%,-
Jaylen Wells,SF,2024,-%,8.25,9.25,6' 6.50'',,8' 7.50'',206.2,6' 7.25'',11.28,3.03,3.08,27.5,36,-,73.30%,-,-,-,-,-,60.00%,-
Cody Williams,SF,2024,-%,8.25,9,6' 6.50'',,8' 7.00'',178.4,7' 1.00'',11.17,2.93,3.06,31,35.5,-,76.70%,-,-,-,-,-,44.00%,-
Trey Alexander,SG,2023,-%,8.5,8.75,6' 3.25'',,8' 5.50'',184.6,6' 10.00'',11.6,-,3.35,29.5,34,-,70.00%,-,-,-,-,-,36.00%,-
Amari Bailey,SG,2023,-%,8,9.25,6' 3.25'',,8' 7.50'',190.8,6' 7.00'',11.34,-,3.19,28.5,35,-,80.00%,-,-,-,-,-,44.00%,-
Emoni Bates,SF,2023,-%,8,8.25,6' 8.25'',,8' 9.00'',179.2,6' 9.00'',11.54,-,3.49,27,32.5,-,76.70%,-,-,-,-,-,76.00%,-
Reece Beekman,PG,2023,-%,8.5,8.25,6' 1.50'',,8' 4.50'',190.6,6' 7.00'',10.99,3.33,3.14,30.5,38,-,73.30%,-,-,-,-,-,60.00%,-
Anthony Black,PG,2023,-%,8.25,9.5,6' 5.75'',,8' 6.50'',210,6' 7.50'',11.04,-,3.35,32,39,-,-,-,-,-,-,-,-,-
Adem Bona,C,2023,-%,9.25,10,6' 8.25'',,9' 2.50'',243.4,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kobe Brown,PF,2023,-%,8.75,9.75,6' 6.50'',,8' 10.50'',252.2,7' 0.75'',11.39,3.23,3.33,28.5,32,-,50.00%,-,-,-,-,-,44.00%,-
Kobe Bufkin,SG,2023,-%,8,9.25,6' 4.25'',,8' 6.50'',186.8,6' 7.75'',11.71,-,3.26,29,36,-,-,-,-,-,-,-,-,-
Toumani Camara,PF,2023,-%,9,10,6' 7.00'',,8' 11.00'',220.4,7' 0.50'',10.7,3.19,3.41,28.5,33,-,70.00%,-,-,-,-,-,52.00%,-
Sidy Cissoko,SF,2023,-%,9.25,10,6' 5.50'',,8' 8.00'',223.8,6' 9.75'',11.24,-,3.31,30.5,35.5,-,-,-,-,-,-,-,-,-
Jaylen Clark,SG,2023,-%,8.5,9,6' 4.00'',,8' 5.50'',204.2,6' 9.00'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Noah Clowney,PF,2023,-%,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bilal Coulibaly,SG-SF,2023,-%,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ricky Council IV,SF,2023,-%,7.75,8.5,6' 5.00'',,8' 7.00'',208,6' 9.00'',11.2,3.21,3.33,30.5,37,-,50.00%,-,-,-,-,-,40.00%,-
Gradey Dick,SG,2023,-%,8.25,9,6' 6.25'',,8' 5.00'',204,6' 8.75'',11.13,2.98,3.5,29,34,-,76.70%,-,-,-,-,-,64.00%,-
Nikola Djurisic,SF,2023,-%,8.25,9.5,6' 7.00'',,8' 6.00'',217.6,6' 8.25'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zach Edey,C,2023,-%,9.75,11,7' 3.25'',,9' 7.50'',306.4,7' 10.50'',11.37,-,3.45,26,29.5,-,-,-,-,-,-,-,-,-
Adam Flagler,PG,2023,-%,8,9.25,6' 1.00'',,8' 1.00'',191.8,6' 4.50'',10.96,-,3.24,31,36,-,70.00%,-,-,-,-,-,68.00%,-
Keyonte George,SG,2023,-%,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mouhamed Gueye,C,2023,-%,9,10,6' 10.25'',,9' 2.50'',212.6,7' 3.25'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordan Hawkins,SG,2023,-%,8.25,8.75,6' 4.25'',,8' 5.50'',186,6' 6.75'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coleman Hawkins,PF,2023,-%,8.75,8.75,6' 8.50'',,9' 0.50'',224.4,7' 0.25'',12.14,-,3.37,26.5,32.5,-,56.70%,-,-,-,-,-,68.00%,-
Scoot Henderson,PG,2023,-%,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taylor Hendricks,PF,2023,-%,9.25,10.25,6' 8.25'',,8' 11.00'',213.6,7' 0.50'',11.27,-,3.32,32.5,36,-,-,-,-,-,-,-,-,-
DaRon Holmes II,C,2023,-%,8.5,9.5,6' 9.00'',,9' 1.00'',220.8,7' 0.50'',11.48,-,3.2,29.5,35,-,50.00%,-,-,-,-,-,44.00%,-
Jalen Hood-Schifino,PG,2023,-%,9,9.75,6' 4.25'',,8' 4.50'',216.6,6' 10.25'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jett Howard,SF,2023,-%,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GG Jackson,PF,2023,-%,8.5,10,6' 8.25'',,8' 10.00'',214.4,6' 11.50'',11.39,-,3.21,31,37,-,46.70%,-,-,-,-,-,44.00%,-
Andre Jackson Jr.,SF,2023,-%,8.25,9.5,6' 5.50'',,8' 7.00'',198.4,6' 9.75'',10.83,-,3.14,30.5,39.5,-,60.00%,-,-,-,-,-,60.00%,-
Trayce Jackson-Davis,C,2023,-%,9.25,10.75,6' 8.25'',,8' 10.00'',240.4,7' 1.00'',11.8,3.23,3.2,33,36.5,-,60.00%,-,-,-,-,-,48.00%,-
Jaime Jaquez Jr.,SF,2023,-%,8.5,9.5,6' 6.00'',,8' 3.50'',226.4,6' 9.50'',11.21,-,3.33,34.5,39,-,-,-,-,-,-,-,-,-
Keyontae Johnson,SF,2023,-%,9,9,6' 4.00'',,8' 7.00'',238.6,7' 0.00'',-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colby Jones,SG,2023,-%,8.25,8.5,6' 4.50'',,8' 7.00'',199.2,6' 8.00'',11.14,3.13,3.33,30.5,35,-,-,-,-,-,-,-,-,-
Ryan Kalkbrenner,C,2023,-%,9.25,11,7' 0.75'',,9' 4.50'',251.8,7' 5.00'',12.27,-,3.39,28,30.5,-,36.70%,-,-,-,-,-,48.00%,-
Arthur Kaluma,PF,2023,-%,8.5,10,6' 6.25'',,8' 7.50'',221.8,7' 0.50'',11.35,3.26,3.44,32.5,34.5,-,66.70%,-,-,-,-,-,64.00%,-
Mojave King,SG,2023,-%,8.75,9.5,6' 3.75'',,8' 5.00'',200.6,6' 8.00'',11.07,-,3.18,33.5,42,-,80.00%,-,-,-,-,-,52.00%,-
Bobi Klintman,PF,2023,-%,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Maxwell Lewis,SG,2023,-%,8.75,9.5,6' 6.25'',,8' 8.50'',207.2,7' 0.00'',11.4,-,3.43,32.5,36.5,-,-,-,-,-,-,-,-,-
Dereck Lively Jr.,C,2023,-%,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chris Livingston,SF,2023,-%,8.5,9,6' 6.00'',,8' 8.50'',219.2,6' 11.25'',11.65,-,3.27,30.5,37,-,70.00%,-,-,-,-,-,48.00%,-
Seth Lundy,SF,2023,-%,8.5,9,6' 4.00'',,8' 8.00'',214.4,6' 10.25'',11.02,-,3.15,31.5,35.5,-,83.30%,-,-,-,-,-,64.00%,-
Kevin McCullar,SF,2023,-%,-,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mike Miles Jr.,PG,2023,-%,8,8.25,6' 0.75'',,8' 0.00'',205,6' 0.50'',11.01,3.24,3.11,33,37,-,63.30%,-,-,-,-,-,44.00%,-
